"job_id","job_title","job_location","job_schedule_type","job_posted_date","salary_year_avg","company_name"
157003,"Data Engineer","Anywhere","Full-time","2023-02-17 18:11:49","325000.0","Engtal"
21321,"Data Engineer","Anywhere","Full-time","2023-01-27 18:10:51","325000.0","Engtal"
270455,"Data Engineer","Anywhere","Full-time","2023-07-17 11:10:55","300000.0","Durlston Partners"
230458,"Director of Engineering - Data Platform","Anywhere","Full-time","2023-01-30 11:07:32","251000.0","Twitch"
595768,"Principal Data Engineer","Anywhere","Full-time","2023-02-14 15:24:07","250000.0","Signify Technology"
561728,"Data Engineer","Anywhere","Full-time","2023-03-24 23:32:42","250000.0","AI Startup"
543728,"Staff Data Engineer","Anywhere","Full-time","2023-03-28 13:11:42","250000.0","Signify Technology"
204320,"Staff Data Engineer","Anywhere","Full-time","2023-01-08 15:05:16","245000.0","Handshake"
151972,"Principal Data Engineer (Remote)","Anywhere","Full-time","2023-05-25 15:05:38","245000.0","Movable Ink"
2446,"Data Engineering Manager","Anywhere","Full-time","2023-12-12 15:56:17","242000.0","Meta"
